sample_name	region	bin_num	C_number	T_number	Methylation_level
CG	Body	1	1263218	5060835	0.199748167828448
CG	Body	10	1678979	1250254	0.573180419584239
CG	Body	11	1702417	1238091	0.578953364520688
CG	Body	12	1636817	1252815	0.566444792970177
CG	Body	13	1615602	1266214	0.560619414979999
CG	Body	14	1592928	1293065	0.551951442709667
CG	Body	15	1567872	1348776	0.537559554666864
CG	Body	16	1546706	1416761	0.521924489120345
CG	Body	17	1406026	1439002	0.494204626457103
CG	Body	18	1179501	1467101	0.445666178745425
CG	Body	19	877666	1395962	0.38602005253278
CG	Body	2	1244223	3628854	0.255325947035107
CG	Body	20	515437	931202	0.356299671168826
CG	Body	3	1300516	2637205	0.330271240649096
CG	Body	4	1372557	2045707	0.401536276893768
CG	Body	5	1512786	1746162	0.464194580582446
CG	Body	6	1563783	1534757	0.504683818830804
CG	Body	7	1647724	1421455	0.536861486410535
CG	Body	8	1689775	1343147	0.557144232525597
CG	Body	9	1629019	1284054	0.559209810396101
CG	Downstream	21	367030	478313	0.434178788964953
CG	Downstream	22	477929	453686	0.51301127611728
CG	Downstream	23	571424	470917	0.548212149382975
CG	Downstream	24	678214	503275	0.574033274960664
CG	Downstream	25	774729	544188	0.587397842320631
CG	Downstream	26	836703	564558	0.597107177035542
CG	Downstream	27	902508	584861	0.606781504791346
CG	Downstream	28	1019009	619712	0.621831904271685
CG	Downstream	29	1050593	627038	0.626236043563811
CG	Downstream	30	1066882	633199	0.627547746254443
CG	Downstream	31	1100424	650062	0.628639132218138
CG	Downstream	32	1091947	641748	0.629838004954735
CG	Downstream	33	1102789	633203	0.635250047235241
CG	Downstream	34	1117165	631152	0.638994530168156
CG	Downstream	35	1111696	620110	0.641928714879149
CG	Downstream	36	1109734	625997	0.639346765138146
CG	Downstream	37	1112659	628478	0.639041614760929
CG	Downstream	38	1134123	629491	0.643067587351881
CG	Downstream	39	1145762	624025	0.64740107142837
CG	Downstream	40	1147850	612353	0.652112284776245
CG	Upstream	-1	878541	1222045	0.418236149341184
CG	Upstream	-10	1247618	580055	0.682626487342101
CG	Upstream	-11	1240492	568981	0.685554302274751
CG	Upstream	-12	1262835	565839	0.690574153731064
CG	Upstream	-13	1274194	549417	0.698720286289126
CG	Upstream	-14	1268170	539824	0.701423787910801
CG	Upstream	-15	1274050	538537	0.702890399191873
CG	Upstream	-16	1277718	532809	0.705716070514276
CG	Upstream	-17	1283867	525258	0.709661853105783
CG	Upstream	-18	1290695	519196	0.713134105866044
CG	Upstream	-19	1292511	513503	0.715670531900639
CG	Upstream	-2	869669	955389	0.476515814839857
CG	Upstream	-3	918951	771538	0.543600697786262
CG	Upstream	-4	991955	680939	0.592957473695285
CG	Upstream	-5	1059052	632529	0.626072295680786
CG	Upstream	-6	1095594	599367	0.646383014122449
CG	Upstream	-7	1130963	584540	0.659260286924593
CG	Upstream	-8	1170754	587723	0.665777260663631
CG	Upstream	-9	1214151	587674	0.673845129243961
CG	Upstream	0	875015	1579242	0.356529491410231
