sample_name	region	bin_num	C_number	T_number	Methylation_level
CHG	Body	1	661957	3067356	0.177501057165221
CHG	Body	10	1037980	1214373	0.46084250559304
CHG	Body	11	1032838	1208244	0.460865778226767
CHG	Body	12	1000440	1222656	0.450021051722463
CHG	Body	13	967902	1248412	0.436716999486535
CHG	Body	14	963764	1273548	0.430768708164083
CHG	Body	15	930504	1339259	0.409956458009052
CHG	Body	16	903297	1403817	0.391526816620245
CHG	Body	17	814440	1455871	0.358734992694833
CHG	Body	18	683181	1505150	0.312192716732524
CHG	Body	19	521529	1442996	0.265473333248495
CHG	Body	2	691323	2393039	0.224138087552628
CHG	Body	20	368616	1009359	0.267505578838513
CHG	Body	3	757790	1919778	0.283014287592323
CHG	Body	4	820718	1630920	0.334763125714318
CHG	Body	5	906742	1475128	0.380684924030279
CHG	Body	6	950704	1348022	0.413578651827143
CHG	Body	7	998000	1295431	0.435155886529832
CHG	Body	8	1032918	1267915	0.448932191080361
CHG	Body	9	1006825	1224612	0.451200280357456
CHG	Downstream	21	236306	457044	0.340817768803635
CHG	Downstream	22	282973	457788	0.382003102215154
CHG	Downstream	23	330429	470349	0.41263496249897
CHG	Downstream	24	393900	496527	0.442372030497727
CHG	Downstream	25	451806	522575	0.463685149854113
CHG	Downstream	26	500941	541050	0.480753672536519
CHG	Downstream	27	547446	552579	0.497666871207473
CHG	Downstream	28	602246	582347	0.508399087281454
CHG	Downstream	29	632778	584103	0.519999901387235
CHG	Downstream	30	657401	586943	0.528311302983741
CHG	Downstream	31	672411	595294	0.530415987946723
CHG	Downstream	32	686816	595020	0.535806452619524
CHG	Downstream	33	696517	593536	0.539913476423062
CHG	Downstream	34	711405	593142	0.545327228532203
CHG	Downstream	35	717304	578581	0.553524425392685
CHG	Downstream	36	723181	587985	0.551555638263957
CHG	Downstream	37	733824	592977	0.553077665753945
CHG	Downstream	38	740138	594416	0.554595767574785
CHG	Downstream	39	746916	590550	0.558456065425215
CHG	Downstream	40	739649	579630	0.560646383365459
CHG	Upstream	-1	444463	925800	0.324363279166116
CHG	Upstream	-10	764318	544489	0.583980678587446
CHG	Upstream	-11	777359	536900	0.591480826838546
CHG	Upstream	-12	781615	545867	0.58879517763706
CHG	Upstream	-13	809167	534196	0.602344265846238
CHG	Upstream	-14	807750	531410	0.60317661817856
CHG	Upstream	-15	817647	534958	0.604497987217259
CHG	Upstream	-16	834365	534041	0.609734976315509
CHG	Upstream	-17	838813	529861	0.612865444948907
CHG	Upstream	-18	841182	524033	0.616153499631926
CHG	Upstream	-19	846241	520782	0.619039328526294
CHG	Upstream	-2	470533	751199	0.385136020010935
CHG	Upstream	-3	510595	649439	0.440155202347517
CHG	Upstream	-4	562891	599966	0.484058658975265
CHG	Upstream	-5	607907	571192	0.515569091314639
CHG	Upstream	-6	647422	548769	0.541236307579642
CHG	Upstream	-7	678032	539319	0.556973296937366
CHG	Upstream	-8	714648	544082	0.567753211570392
CHG	Upstream	-9	755070	550459	0.578363253516391
CHG	Upstream	0	443371	1144278	0.279262607793032
