sample_name	region	bin_num	C_number	T_number	Methylation_level
CHH	Body	1	117073	5473196	0.0209422838149649
CHH	Body	10	148472	4181688	0.0342878785079535
CHH	Body	11	147893	4171129	0.0342422428040422
CHH	Body	12	143246	4087819	0.0338557786278396
CHH	Body	13	141159	4108300	0.0332181108230483
CHH	Body	14	139127	4084130	0.032943057928987
CHH	Body	15	137143	4129404	0.0321437921579207
CHH	Body	16	133087	4142893	0.0311243270548506
CHH	Body	17	122328	4017449	0.0295494177584928
CHH	Body	18	105479	3860138	0.0265983830511116
CHH	Body	19	88306	3457456	0.0249046608317197
CHH	Body	2	119891	4845365	0.0241459856249104
CHH	Body	20	67903	2500682	0.0264359559835474
CHH	Body	3	122941	4446424	0.0269054890559191
CHH	Body	4	128830	4207525	0.0297092834880908
CHH	Body	5	136100	4179493	0.0315368015473192
CHH	Body	6	143599	4181608	0.0332004919070925
CHH	Body	7	148209	4198898	0.0340937087584916
CHH	Body	8	153775	4244311	0.0349640730081222
CHH	Body	9	148508	4159683	0.0344710807854155
CHH	Downstream	21	60352	1313277	0.0439361719940391
CHH	Downstream	22	86469	1335426	0.0608125072526452
CHH	Downstream	23	107036	1484477	0.0672542417184151
CHH	Downstream	24	118384	1653672	0.0668060151597918
CHH	Downstream	25	127730	1826995	0.0653442300067784
CHH	Downstream	26	133705	1962647	0.0637798423165575
CHH	Downstream	27	139762	2094242	0.0625612129611227
CHH	Downstream	28	147292	2219736	0.0622265558328841
CHH	Downstream	29	149401	2315544	0.0606102773084186
CHH	Downstream	30	145196	2363759	0.0578711056993848
CHH	Downstream	31	144263	2438987	0.055845543404626
CHH	Downstream	32	142890	2457334	0.0549529578990118
CHH	Downstream	33	140802	2475258	0.0538221600422009
CHH	Downstream	34	137780	2490334	0.0524254275118964
CHH	Downstream	35	137450	2485417	0.0524044871508925
CHH	Downstream	36	135573	2526289	0.0509316410843237
CHH	Downstream	37	134100	2528997	0.0503549063364947
CHH	Downstream	38	132104	2550078	0.049252437008376
CHH	Downstream	39	132903	2557660	0.0493959814358556
CHH	Downstream	40	130956	2525148	0.049303792321385
CHH	Upstream	-1	224215	2273979	0.0897508360039292
CHH	Upstream	-10	168739	2533612	0.0624415555196198
CHH	Upstream	-11	164518	2535819	0.0609249882514664
CHH	Upstream	-12	160501	2574937	0.0586746985309117
CHH	Upstream	-13	157348	2585502	0.057366607725541
CHH	Upstream	-14	155999	2615668	0.0562834568510575
CHH	Upstream	-15	154096	2642118	0.0551088006854983
CHH	Upstream	-16	153124	2646884	0.0546869866086097
CHH	Upstream	-17	150718	2655361	0.0537112461908592
CHH	Upstream	-18	150981	2652661	0.0538517399867743
CHH	Upstream	-19	147182	2645131	0.0527097069705295
CHH	Upstream	-2	197376	2057298	0.0875408152131971
CHH	Upstream	-3	193010	1995290	0.0882008865329251
CHH	Upstream	-4	190245	2040107	0.085298195083108
CHH	Upstream	-5	189006	2133131	0.0813931305517289
CHH	Upstream	-6	181506	2203573	0.0761006239206332
CHH	Upstream	-7	175397	2264397	0.0718900858023259
CHH	Upstream	-8	175030	2385479	0.0683575023559769
CHH	Upstream	-9	170202	2473214	0.0643871414866219
CHH	Upstream	0	146712	2538813	0.0546306588097299
